idTweets,rater-1(annotator-1),rater-2(annotator-2),rater-3(annotator-3),consolidation column
340927733578227712,NN,NN,NN,NN
341291296985595905,NN,NN,NN,NN
341720902964219904,NN,NN,NN,NN
341978024121610240,NN,NN,NN,NN
342372717389021185,NN,NN,NN,NN
342781024578699264,NN,NN,NN,NN
342798325738795009,NN,NN,NN,NN
343092254602317824,NN,NN,NN,NN
343094254727475200,P,P,P,P
343442938254209024,NN,NN,NN,NN
343828095712784384,P,P,P,P
344214602126594048,NN,NN,NN,NN
344570916224761856,NN,NN,NN,NN
344572724905115648,NN,NN,NN,NN
344960534145277952,NN,NN,NN,NN
344964076897718272,NN,NN,NN,NN
345202281953759233,NN,NN,NN,NN
345326704669126656,NN,NN,NN,NN
345311072045109251,NN,NN,NN,NN
345280481920700416,P,P,P,P
345300469167583233,P,P,P,P
345315127781883905,P,P,P,P
345645189790044160,P,P,P,P
345391021141676032,NN,NN,NN,NN
345641934129360896,N,N,N,N
345604031764381697,NN,NN,NN,NN
345996164988022784,P,P,P,P
346015301646831616,P,P,P,P
346100332650188801,NN,NN,NN,NN
345998417161515008,NN,NN,NN,NN
346023019552067584,N,N,N,N
345815129029484544,NN,NN,NN,NN
345974056773877760,NN,NN,NN,NN
345962201313583106,P,P,P,P
346386131987881984,NN,NN,NN,NN
346409744413642752,NN,NN,NN,NN
346393756108480512,NN,NN,NN,NN
346353569982709760,NN,NN,NN,NN
346373374517329920,P,P,P,P
346405318005231617,NN,NN,NN,NN
346363392237379584,NN,NN,NN,NN
346400029474439168,P,P,P,P
346368124007899136,NN,NN,NN,NN
346358289799450625,NN,NN,NN,NN
346371376292196352,NN,NN,NN,NN
346412549421551616,P,P,P,P
346348660348567554,P,P,P,P
346399244518838273,NN,NN,NN,NN
346380026108850176,NN,NN,NN,NN
346375358293094400,NN,NN,NN,NN
346364651002548224,P,P,P,P
346368957596442625,NN,NN,NN,NN
346377688916844544,NN,NN,NN,NN
346332429415510016,P,P,P,P
346273209060048896,NN,NN,NN,NN
346366657343676416,NN,NN,NN,NN
346120755601346560,NN,NN,NN,NN
346366376421756929,P,P,P,P
346397650737823744,N,N,N,N
346366965625012224,NN,NN,NN,NN
346353621241303041,P,P,P,P
346370827161325569,NN,NN,NN,NN
346460805363007488,NN,NN,P,NN
346443094876639233,P,P,P,P
346437016159916032,P,P,P,P
346425557325598721,NN,NN,NN,NN
346432113588969472,NN,NN,NN,NN
346416839972249600,NN,NN,P,NN
346833841694064640,P,P,P,P
346834020144922626,NN,NN,NN,NN
346832706971246593,P,P,P,P
346775945748807680,P,P,P,P
346647030497677312,P,P,P,P
346767763349594114,P,P,P,P
346745765948960768,P,P,P,P
346698605924581376,NN,NN,NN,NN
346739946159218690,P,P,P,P
346702394148655104,P,P,P,P
346737153579036673,P,P,P,P
346712576111038464,P,P,P,P
346745994890846208,NN,NN,NN,NN
346767978349596674,NN,NN,NN,NN
346759994991050753,P,P,P,P
346768485529038850,P,P,P,P
346694610443182080,P,P,P,P
346745251433705472,P,P,P,P
346755311085973504,P,P,P,P
346497381455507456,P,P,P,P
346612857451991040,P,P,P,P
346739350823911424,P,P,P,P
346753841166942208,P,P,P,P
346745926905372674,N,N,N,N
346754627015933953,P,P,P,P
346733592845615104,NN,NN,NN,NN
346746732400492544,P,P,P,P
346761572301041664,NN,NN,NN,NN
346741451851452416,P,P,P,P
346724108572180480,P,P,P,P
346558479479222272,NN,NN,NN,NN
346752654069882881,P,P,P,P
346701832149671936,NN,NN,NN,NN
346745239509278721,P,P,P,P
346769858425413632,P,P,P,P
346769477217681409,P,P,P,P
346746172343468032,N,N,N,N
346742625879064577,P,P,P,P
346714651515564032,P,P,P,P
346759048508604416,N,N,N,N
346774490912534529,NN,NN,NN,NN
346751768736190464,P,P,P,P
346719297055363072,P,P,P,P
346773399718215682,P,P,P,P
346776023410556931,P,P,P,P
346774165765890048,P,P,P,P
346759556732440577,NN,NN,NN,NN
346729724531331072,P,P,P,P
346699357795528704,P,P,P,P
346779048732655617,P,P,P,P
346673352523522048,N,N,N,N
346736202965209089,P,P,P,P
346752394870272000,P,P,P,P
346749452100456448,P,P,P,P
346627109629870080,P,P,P,P
346744902970912770,P,P,P,P
346717579399798785,P,P,P,P
346767659003699200,NN,NN,NN,NN
346749590655074304,P,P,P,P
346763892862631936,NN,NN,NN,NN
346748160670056448,NN,NN,NN,NN
346748574685614081,NN,NN,NN,NN
346769682440798208,P,P,P,P
